query_id;dop;predicted_time;actual_time;predicted_memory;actual_memory;Execution Time Q-error;Memory Q-error;Time Prediction Latency (s);Memory Prediction Latency (s)
4;128;13906.633;12309.2;9158195.0;9145344;0.129775518514607;0.001405195911712065;3.910064697265625e-05;5.5789947509765625e-05
4;160;15065.167;14845.5;11328618.0;11339776;0.014796873947492406;0.0009849392044114502;3.981590270996094e-05;5.412101745605469e-05
5;8;24878.234;23663.7;2007405.0;2034688;0.05132478754379077;0.013591178661007675;5.5789947509765625e-05;7.843971252441406e-05
5;16;14677.991;14258.5;4049327.5;4122624;0.02942043068608191;0.018100906878981693;4.315376281738281e-05;6.389617919921875e-05
5;32;13405.05;13425.3;7863433.5;7581696;0.0015106393193271561;0.03716022114313211;3.886222839355469e-05;6.437301635742188e-05
5;64;11434.361;12338.1;7767083.0;7761920;0.07903709231682954;0.0006651704732849595;3.9577484130859375e-05;6.008148193359375e-05
5;96;12941.024;12212.7;12435988.0;12430336;0.05963664169778182;0.0004546940645853148;4.458427429199219e-05;6.270408630371094e-05
5;128;16541.953;16104.9;18318292.0;18318336;0.02713789747219786;2.401970664145381e-06;4.00543212890625e-05;5.698204040527344e-05
5;160;20112.043;20028.3;25854704.0;25828352;0.004181231994228263;0.001020274154541534;3.743171691894531e-05;5.173683166503906e-05
6;8;11950.746;12135.9;145090.0;111616;0.015493083427387866;0.299903239678899;3.910064697265625e-05;5.221366882324219e-05
6;16;7850.463;6796.36;252595.0;220160;0.15509815410381456;0.1473246729651163;3.7670135498046875e-05;4.9114227294921875e-05
6;32;7528.547;6060.23;489568.0;430080;0.2422873183031009;0.13831845238095242;3.790855407714844e-05;5.745887756347656e-05
6;64;7344.3086;6429.29;948795.0;822272;0.1423203174456278;0.15387000895080938;4.0531158447265625e-05;8.106231689453125e-05
6;96;7211.963;7116.22;1525334.0;1264640;0.01345417800812787;0.20614087803643732;4.291534423828125e-05;5.984306335449219e-05
